"Date and Time Run 1","Time (s) Run 1","Force Beam 1 (N) Run 1","Force Beam 2 (N) Run 1","Force Beam 3 (N) Run 1","Force Beam 4 (N) Run 1","Vertical Force (N) Run 1","Date and Time Run 2","Time (s) Run 2","Force Beam 1 (N) Run 2","Force Beam 2 (N) Run 2","Force Beam 3 (N) Run 2","Force Beam 4 (N) Run 2","Vertical Force (N) Run 2"
11/01/2022 08:48:37 am,1.175,40.14,54.35,-4.78,42.37,132.08,11/01/2022 08:50:52 am,1.175,-4.33,24.42,10.97,46.71,77.77
11/01/2022 08:48:37 am,1.180,40.31,54.15,-4.86,43.13,132.74,11/01/2022 08:50:52 am,1.180,-4.28,22.57,11.14,42.02,71.46
11/01/2022 08:48:37 am,1.185,39.94,53.67,-4.73,43.74,132.63,11/01/2022 08:50:52 am,1.185,-4.35,20.92,11.02,40.04,67.62
11/01/2022 08:48:37 am,1.190,38.76,53.97,-4.73,45.29,133.30,11/01/2022 08:50:52 am,1.190,-4.15,19.14,10.72,38.59,64.30
11/01/2022 08:48:37 am,1.195,37.01,53.52,-4.91,45.62,131.25,11/01/2022 08:50:52 am,1.195,-4.30,18.61,10.03,37.20,61.55
11/01/2022 08:48:37 am,1.200,36.08,53.45,-4.91,46.58,131.21,11/01/2022 08:50:52 am,1.200,-4.20,17.64,9.76,34.76,57.96
11/01/2022 08:48:37 am,1.205,34.70,53.65,-4.66,47.22,130.92,11/01/2022 08:50:52 am,1.205,-4.20,17.11,9.40,33.72,56.04
11/01/2022 08:48:37 am,1.210,33.93,53.72,-4.99,47.72,130.40,11/01/2022 08:50:52 am,1.210,-4.25,16.39,9.23,32.58,53.95
11/01/2022 08:48:37 am,1.215,33.10,53.82,-4.71,48.54,130.76,11/01/2022 08:50:52 am,1.215,-4.28,15.21,8.62,31.52,51.07
11/01/2022 08:48:37 am,1.220,28.67,57.05,-4.71,51.53,132.55,11/01/2022 08:50:52 am,1.220,-4.20,14.81,7.38,30.58,48.57
11/01/2022 08:48:37 am,1.225,24.11,65.36,-4.91,56.12,140.69,11/01/2022 08:50:52 am,1.225,-4.45,14.08,6.85,28.40,44.88
11/01/2022 08:48:37 am,1.230,21.94,64.18,-4.93,57.67,138.86,11/01/2022 08:50:52 am,1.230,-4.13,13.63,6.15,28.04,43.70
11/01/2022 08:48:37 am,1.235,20.36,62.63,-4.73,59.01,137.27,11/01/2022 08:50:52 am,1.235,-4.40,14.61,5.74,28.32,44.27
11/01/2022 08:48:37 am,1.240,17.23,61.81,-4.71,60.05,134.38,11/01/2022 08:50:52 am,1.240,-4.18,15.59,5.01,29.18,45.60
11/01/2022 08:48:37 am,1.245,17.05,60.70,-4.83,59.87,132.80,11/01/2022 08:50:52 am,1.245,-4.18,16.84,4.78,32.84,50.28
11/01/2022 08:48:37 am,1.250,17.38,57.88,-4.81,59.59,130.05,11/01/2022 08:50:52 am,1.250,-4.15,18.79,4.58,35.09,54.31
11/01/2022 08:48:37 am,1.255,17.60,57.58,-4.73,59.16,129.62,11/01/2022 08:50:52 am,1.255,-4.30,20.89,4.05,38.01,58.65
11/01/2022 08:48:37 am,1.260,17.55,57.40,-4.81,59.87,130.03,11/01/2022 08:50:52 am,1.260,-4.10,27.87,3.80,41.89,69.46
11/01/2022 08:48:37 am,1.265,17.55,58.00,-4.86,60.18,130.88,11/01/2022 08:50:52 am,1.265,-4.10,31.40,1.73,45.59,74.63
11/01/2022 08:48:37 am,1.270,17.28,58.93,-4.78,60.53,131.96,11/01/2022 08:50:52 am,1.270,-3.28,38.38,-0.74,61.55,95.91
11/01/2022 08:48:37 am,1.275,17.30,59.33,-4.71,60.84,132.77,11/01/2022 08:50:52 am,1.275,-2.25,71.04,-4.56,77.63,141.87
11/01/2022 08:48:37 am,1.280,17.33,59.45,-4.66,61.98,134.11,11/01/2022 08:50:52 am,1.280,26.04,122.19,-6.35,87.75,229.64
11/01/2022 08:48:37 am,1.285,17.80,59.70,-4.91,62.92,135.52,11/01/2022 08:50:52 am,1.285,68.93,59.68,4.35,51.07,184.04
11/01/2022 08:48:37 am,1.290,19.43,59.38,-4.68,63.32,137.46,11/01/2022 08:50:52 am,1.290,122.08,124.97,-7.28,60.63,300.42
11/01/2022 08:48:37 am,1.295,20.26,58.33,-4.91,63.35,137.03,11/01/2022 08:50:52 am,1.295,53.01,161.38,-6.25,100.33,308.48
11/01/2022 08:48:37 am,1.300,21.08,58.10,-4.86,63.70,138.04,11/01/2022 08:50:52 am,1.300,74.16,105.95,-3.47,61.85,238.50
11/01/2022 08:48:37 am,1.305,21.51,58.00,-4.71,63.45,138.26,11/01/2022 08:50:52 am,1.305,43.97,84.85,-4.05,68.09,192.87
